"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","catsys","optu","optl","optr","optd","catchange"
"cL258544",0,"culture","left","yes",7,"s3700",FALSE,"1,1,1,0,0,0,0,0,0,0","1,1,0,1,0,0,0,0,0,0",8,3,2,3,0,0,0,1,0,1,1,1,1,1,1,"0010111111",2,2,4,2,2
"iU414544",1,"individual","uniform","no",3,"s8919",TRUE,"1,1,1,1,1,0,0,0,0,0","1,1,1,1,1,0,0,0,0,0",10,1,0,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,0,0
"cU682817",1,"culture","uniform","no",5,"s200",FALSE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,0,1,1,1,1",9,1,0,6,1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,1,1
"iU103436",1,"individual","uniform","no",6,"s4594",FALSE,"0,0,0,0,0,0,0,0,1,1","0,0,0,0,0,0,0,1,1,1",9,1,0,7,-1,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,2,1
"cU236329",0,"culture","uniform","no",9,"s900",FALSE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,0,1,1,1,1",9,1,0,6,1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,1,1
"iR159459",1,"individual","right","yes",2,"s3075",FALSE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,0,0,0,0",9,1,0,6,-1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,2,1
"cU439765",1,"culture","uniform","no",5,"s600",FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,1,0,0,1,1,0",7,4,3,7,1,0,0,0,0,1,0,0,1,1,0,"0000100110",2,4,2,2,3
"iL173364",1,"individual","left","yes",6,"s3971",FALSE,"1,1,1,1,1,0,0,0,1,0","1,1,1,1,0,0,0,0,1,0",9,3,0,5,-1,0,0,0,0,1,1,1,1,0,1,"0000111101",0,4,2,4,1
"cL247072",1,"culture","left","yes",7,"s4000",TRUE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,1,0,0,0",10,1,0,7,0,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,5,0
"iR713831",1,"individual","right","yes",2,"s8056",FALSE,"0,0,0,0,1,0,1,1,1,0","1,0,0,0,0,0,0,1,1,0",7,3,-1,3,-3,0,1,1,1,1,1,1,0,0,1,"0111111001",2,4,3,3,3
"cL942098",1,"culture","left","yes",3,"s3900",FALSE,"0,1,1,1,1,0,0,0,0,0","0,0,0,0,1,1,1,1,1,1",2,1,-1,4,-2,0,0,0,0,1,1,1,1,1,1,"0000111111",1,2,4,2,8
"cU642954",1,"culture","uniform","no",1,"s1400",FALSE,"0,1,0,1,0,1,1,0,0,1","0,0,1,0,1,1,1,1,1,1",4,3,-4,3,-2,0,0,1,0,1,1,1,1,1,1,"0010111111",2,2,4,2,6
"cR787191",1,"culture","right","yes",2,"s2700",FALSE,"1,0,1,1,0,1,1,0,0,1","1,1,1,1,1,1,0,0,1,1",6,2,-4,8,2,0,0,0,0,0,0,1,1,0,0,"0000001100",3,5,1,1,4
"cL757125",1,"culture","left","yes",2,"s4000",FALSE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,0,1,0,0,0,0",8,3,2,5,-2,0,0,0,0,1,0,1,1,1,1,"0000101111",0,4,4,4,2
"cR394151",1,"culture","right","yes",4,"s2100",TRUE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,1,0,0,0",10,1,0,7,0,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,1,0
"iU759166",1,"individual","uniform","no",2,"s4905",FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,1,1,1,1,1,1",8,1,0,4,-2,0,0,0,0,1,1,1,1,1,1,"0000111111",1,2,4,1,2
"iR656471",1,"individual","right","yes",2,"s8874",FALSE,"1,1,1,1,1,0,1,1,0,0","1,1,1,1,1,1,0,1,0,0",8,3,0,7,0,0,0,0,0,0,0,1,0,1,1,"0000001011",2,4,2,2,2
"cL920282",1,"culture","left","yes",4,"s4100",FALSE,"1,1,1,1,1,1,1,1,0,0","1,1,1,1,1,1,0,0,0,0",8,1,0,6,-2,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,4,2
