"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change"
"iR643497",0,"individual","right","yes",2,"s1123",FALSE,"0,0,0,0,0,0,1,0,1,1","0,0,0,0,1,0,1,0,1,1",9,5,2,6,-1
"iR643497",0,"individual","right","yes",8,"s1123",FALSE,"0,0,0,0,0,1,1,1,1,1","0,1,1,1,1,0,1,1,0,1",4,5,4,3,-2
"iU308968",0,"individual","uniform","no",7,"s2643",FALSE,"1,1,1,0,0,0,0,0,0,1","1,1,1,0,0,0,0,0,1,1",9,2,0,5,1
"iR432012",0,"individual","right","yes",1,"s4870",FALSE,"1,0,1,0,1,0,0,1,1,0","0,0,1,1,0,0,0,1,0,0",6,4,-3,7,2
"iR763032",0,"individual","right","yes",5,"s5139",FALSE,"1,1,1,0,1,1,0,1,1,0","1,0,1,1,0,1,1,1,1,0",6,5,0,7,0
"iU308968",0,"individual","uniform","no",8,"s2643",FALSE,"1,1,1,0,0,0,0,0,1,1","1,1,1,0,0,0,0,0,0,1",9,2,0,4,-1
"cL121090",0,"culture","left","yes",5,"s3700",FALSE,"0,1,1,1,1,1,1,0,0,0","0,0,1,1,1,1,1,0,0,0",9,2,0,5,1
"cU948973",0,"culture","uniform","no",7,"s1200",FALSE,"1,1,0,0,0,1,1,1,1,0","1,1,1,0,1,0,1,0,1,0",6,7,4,6,0
"iL308010",0,"individual","left","yes",6,"s1832",FALSE,"0,1,1,1,1,1,0,0,0,0","0,1,1,1,0,0,0,0,0,0",8,2,0,7,2
"iR415143",0,"individual","right","yes",4,"s6813",FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,0,0,0,1,1,1",9,1,0,7,1
"cU696938",0,"culture","uniform","no",6,"s1200",FALSE,"1,0,1,0,1,0,1,1,0,0","1,1,0,0,0,1,1,1,1,0",5,3,-4,6,1
"iU338909",0,"individual","uniform","no",3,"s3713",FALSE,"1,0,0,0,1,0,0,0,0,1","1,0,1,0,0,1,1,1,1,1",4,4,0,7,4
"iL242076",0,"individual","left","yes",7,"s9394",FALSE,"0,0,0,1,0,0,1,0,0,1","0,0,1,1,0,1,0,0,0,1",7,5,0,6,-1
"cL455549",0,"culture","left","yes",3,"s4200",FALSE,"0,1,1,1,1,1,0,0,0,0","0,1,1,1,1,1,1,0,1,0",8,4,2,3,-2
"cU927570",0,"culture","uniform","no",8,"s900",FALSE,"0,0,0,1,0,0,0,1,1,1","0,0,0,0,0,1,1,1,1,1",7,1,-2,5,-1
"cU333316",0,"culture","uniform","no",7,"s900",FALSE,"0,0,0,0,1,0,0,1,1,1","0,0,0,1,0,0,0,1,1,1",8,3,0,6,0
"iR763032",0,"individual","right","yes",4,"s5139",FALSE,"1,1,1,1,0,0,1,1,0,1","1,1,1,0,1,1,0,1,1,0",4,5,1,7,0
"iU338909",0,"individual","uniform","no",7,"s3713",FALSE,"1,0,1,1,1,0,0,0,1,1","1,0,1,1,1,1,1,1,1,1",7,2,-2,9,3
"cL609912",0,"culture","left","yes",9,"s4200",TRUE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,1,0,0,0",10,1,0,7,0
"cL457885",0,"culture","left","yes",8,"s4200",FALSE,"1,1,1,1,1,1,0,0,0,0","1,1,1,1,1,1,1,0,0,0",9,1,0,7,1
"cL996552",0,"culture","left","yes",8,"s3700",FALSE,"1,1,0,1,0,0,0,0,0,0","1,1,1,0,1,0,0,0,0,0",7,3,0,4,1
"cL172052",0,"culture","left","yes",6,"s4200",FALSE,"1,1,1,0,0,1,1,0,0,0","1,1,1,0,0,1,0,1,0,0",8,5,2,5,0
"cL721417",0,"culture","left","yes",10,"s3700",TRUE,"1,1,0,0,0,0,0,0,0,0","1,1,0,0,0,0,0,0,0,0",10,1,0,2,0
"cL816235",0,"culture","left","yes",7,"s4200",FALSE,"1,1,1,0,0,1,0,1,0,0","1,1,1,1,1,1,0,0,0,0",7,1,-4,6,1
"iR372838",0,"individual","right","yes",3,"s5335",FALSE,"1,0,1,1,1,0,1,1,1,1","1,0,1,0,1,1,1,1,1,1",8,4,0,8,0
"iU338909",0,"individual","uniform","no",6,"s3713",FALSE,"1,0,1,1,0,0,0,0,1,1","1,0,1,1,1,0,0,0,1,1",9,4,0,6,1
"iL373860",0,"individual","left","yes",6,"s9879",FALSE,"0,0,1,0,1,0,1,1,1,0","1,1,0,0,0,0,0,1,1,1",4,2,-4,5,0
"cU545650",0,"culture","uniform","no",10,"s900",TRUE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,0,0,1,1,1,1",10,1,0,6,0
"iL373860",0,"individual","left","yes",7,"s9879",FALSE,"1,1,0,0,0,0,0,1,1,1","0,0,1,1,1,1,0,1,1,1",4,3,1,3,-2
"iR415143",0,"individual","right","yes",3,"s6813",FALSE,"0,0,0,0,0,1,0,1,1,1","0,0,0,0,0,0,1,1,1,1",8,1,-2,6,0
