"","participant","session_code","condition","distribution","chain","generation","parent","word0","word1","round","final_round","converged","correct_mapping","produced_mapping","score","trainset","testset","trainresponses","testresponses","trainresponse_changes","testresponse_changes","train_RTs","test_RTs","duration_consent","duration_callback","duration_comprehension","duration_instruction","duration_round","duration_experiment","whole_experiment","jointime_webapp2","jointime_user","jointime_user_UTC","comprehension_tries","experiment","created","bonused","system1024","system512","system1024_input","system512_input","N_boundaries","N_boundaries_input","N_boundaries_change","n_label1","n_label1_input","n_label1_change","p_input","p_output","p_change","trajectory","iteration"
"218","iL173364","s39710219","I","L",NA,NA,NA,"pon","fud",4,FALSE,FALSE,"1,1,1,1,1,0,0,0,1,0","1,1,1,1,1,1,0,0,1,0",9,"3,1,9,6,0,7,3,0,2,0,2,4,4,3,1,5,0,1,0,0,0,8,1,0,1,2,2,0,5,0","1,4,5,0,7,8,9,3,6,2","1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1","1,1,1,1,0,1,0,1,0,1","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1182,1042,1045,5877,1193,2330,2182,1118,1732,1054,1347,1972,2274,1268,1089,1788,1064,3501,1076,5748,980,8908,1218,1632,1268,1849,1790,1265,2516,1410","1420,4104,1566,1014,1351,1678,2311,1168,1863,1328",12466,463,69652,43894,252877,1237189,NA,"13:03:40 07/09/19 UTC","Tue Jul 09 2019 09:03:18 GMT-0400 (Eastern Daylight Time)","13:03:18 07/09/19 UTC",0,"category_change_1","13:24:05 07/09/19 UTC","no","1111110010","1111110010","1111100010","1111100010",3,3,0,7,6,1,0.4,0.3,-0.1,"s39710219",4
"219","iU460793","s93903724","I","U",NA,NA,NA,"buv","kal",3,FALSE,FALSE,"0,0,0,0,1,1,1,1,1,0","0,0,0,0,0,1,1,1,1,0",9,"3,1,7,1,0,6,1,9,2,0,6,8,8,8,2,4,9,3,3,2,7,9,5,0,5,4,4,7,5,6","0,8,3,9,7,5,1,4,6,2","1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1","0,1,0,0,1,1,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","3920,1722,1069,3750,940,978,2175,1034,1991,1021,1185,1532,1118,908,3203,1795,1000,3435,1242,1152,1359,945,1659,1049,1821,1066,1439,1229,871,1721","880,1095,3221,951,1050,1252,850,3387,1116,1057",7896,169,46544,17328,232564,833198,NA,"13:13:56 07/09/19 UTC","Tue Jul 09 2019 09:13:53 GMT-0400 (Eastern Daylight Time)","13:13:53 07/09/19 UTC",0,"category_change_1","13:27:41 07/09/19 UTC","no","0000011110","1111100001","0000111110","1111000001",2,2,0,6,5,1,0.5,0.4,-0.1,"s93903724",3
"220","cR164338","s98917322","C","R",23,1,"init","dap","mig",1,TRUE,FALSE,"0,0,1,1,1,0,0,0,1,1","1,1,1,0,1,0,0,0,1,1",7,"8,7,5,7,6,2,8,9,9,8,8,9,4,1,9,9,3,6,8,9,9,9,0,9,7,5,9,6,4,7","8,3,2,5,6,0,9,7,4,1","0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1","1,0,1,0,0,1,1,0,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1317,716,1924,1039,954,1375,1002,1036,2166,917,906,1036,1695,1871,5878,1135,1546,1754,1307,1063,1173,1054,1456,987,946,1638,1088,2617,4129,1441","1673,1274,2825,1947,29616,698,3486,1866,705,753",8319,398,68597,14141,285577,377031,6,"13:03:36 07/09/19 UTC","Tue Jul 09 2019 09:03:36 GMT-0400 (Eastern Daylight Time)","13:03:36 07/09/19 UTC",0,"category_change_1","13:09:44 07/09/19 UTC","no","1110100011","1110100011","0011100011","1100011100",4,3,1,6,5,1,0.5,0.4,-0.1,"23",1
"221","iU329183","s66062210","I","U",NA,NA,NA,"vit","lem",7,TRUE,TRUE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,0,0,0,0,0,0",10,"2,4,5,3,0,3,6,7,1,1,3,6,5,7,7,2,9,8,8,0,8,9,5,4,2,9,6,4,1,0","0,8,6,7,1,9,5,4,3,2","1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1","1,0,0,0,1,0,0,0,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1194,1076,895,1021,893,947,1251,976,944,926,925,1330,874,1058,811,948,1267,1537,963,913,969,1022,1553,947,1192,841,853,830,898,753","1013,1099,958,647,928,986,1364,835,1070,884",11443,316,29813,28411,217855,1717700,29,"13:10:22 07/09/19 UTC","Tue Jul 09 2019 09:10:23 GMT-0400 (Eastern Daylight Time)","13:10:23 07/09/19 UTC",0,"category_change_1","13:38:48 07/09/19 UTC","no","1111000000","1111000000","1111000000","1111000000",1,1,0,4,4,0,0.4,0.4,0,"s66062210",7
"222","cU824700","s11556483","C","U",6,2,"cU616235","gos","tef",1,TRUE,FALSE,"0,0,1,1,0,1,1,0,0,1","0,0,0,1,1,1,1,0,0,1",8,"8,4,1,8,2,6,3,2,3,0,4,7,2,7,5,0,5,4,0,6,1,7,9,6,8,9,5,1,3,9","1,7,3,5,8,0,4,2,9,6","0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1","0,0,1,1,0,0,1,0,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2185,1237,1288,1218,941,1246,925,861,877,2928,1401,973,997,929,1256,1096,1573,1031,1092,878,942,1293,1049,817,1186,1902,1099,967,1248,2822","1980,4969,921,758,1394,1020,1144,1198,1473,1207",10793,700,29693,13582,233791,288559,5,"13:10:17 07/09/19 UTC","Tue Jul 09 2019 08:10:15 GMT-0500 (Central Daylight Time)","13:10:15 07/09/19 UTC",0,"category_change_1","13:14:55 07/09/19 UTC","no","0001111001","1110000110","0011011001","1100100110",3,5,-2,5,5,0,0.5,0.5,0,"6",2
"223","cL761527","s81329426","C","L",34,2,"cL587631","pon","fud",1,TRUE,FALSE,"1,1,1,1,1,0,1,0,0,0","1,1,1,1,1,1,1,0,0,0",9,"1,1,5,7,3,1,0,0,6,0,0,0,0,1,0,2,2,4,9,3,8,5,0,2,4,3,1,0,2,0","1,5,0,3,9,6,4,2,7,8","1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1","1,1,1,1,0,1,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1673,1223,1374,1274,997,1013,831,1013,1266,1064,570,502,2013,3573,1893,2462,4629,935,10071,4443,4445,68721,2084,7906,1427,2591,4453,779,1460,747","796,898,11351,984,846,772,1193,501,1076,872",22257,249,75954,20859,337551,456871,8,"13:13:58 07/09/19 UTC","Tue Jul 09 2019 09:13:58 GMT-0400 (Eastern Daylight Time)","13:13:58 07/09/19 UTC",0,"category_change_1","13:21:13 07/09/19 UTC","no","1111111000","1111111000","1111101000","1111101000",1,3,-2,7,6,1,0.4,0.3,-0.1,"34",2
"224","iU630641","s88124969","I","U",NA,NA,NA,"buv","kal",4,FALSE,FALSE,"0,0,0,0,0,0,0,1,1,1","0,0,0,0,0,0,1,1,1,1",9,"8,8,9,7,3,6,3,1,8,9,5,3,4,7,2,4,1,5,7,0,6,4,2,9,2,5,1,6,0,0","1,4,2,6,8,3,9,5,0,7","1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0","0,0,0,1,1,0,1,0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1028,1008,850,1080,982,1730,982,930,1075,847,1161,848,1013,1616,1550,1280,847,1113,947,796,1218,1736,778,907,799,1059,680,985,1903,1031","878,1563,970,979,1862,915,1158,875,810,949",5470,10421,24916,12449,237896,1100475,NA,"13:06:37 07/09/19 UTC","Tue Jul 09 2019 09:06:36 GMT-0400 (Eastern Daylight Time)","13:06:36 07/09/19 UTC",0,"category_change_1","13:24:52 07/09/19 UTC","no","0000001111","1111110000","0000000111","1111111000",1,1,0,6,7,-1,0.3,0.4,0.1,"s88124969",4
"225","iR432012","s48700223","I","R",NA,NA,NA,"gos","tef",2,FALSE,FALSE,"0,0,1,1,0,0,0,1,0,0","0,1,0,0,1,0,0,1,0,0",6,"9,9,5,9,6,0,1,8,5,6,4,9,3,9,9,2,7,7,8,9,8,8,9,7,4,6,9,8,7,9","7,0,8,9,1,4,6,2,3,5","0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0","1,0,0,0,1,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1038,1032,2402,873,899,1151,1183,2415,1680,960,2845,816,4173,999,834,1631,2362,1204,1681,1002,2048,1881,1032,1672,2312,1120,878,2364,1364,934","2045,1331,1564,923,2016,4215,1587,4711,1016,1681",13908,327,41637,18812,239543,572498,NA,"13:06:59 07/09/19 UTC","Tue Jul 09 2019 09:06:41 GMT-0400 (Eastern Daylight Time)","13:06:41 07/09/19 UTC",0,"category_change_1","13:16:18 07/09/19 UTC","no","0100100100","1011011011","0011000100","1100111011",6,4,2,7,7,0,0.3,0.3,0,"s48700223",2
"226","iU461378","s53800514","I","U",NA,NA,NA,"seb","nuk",2,FALSE,FALSE,"1,0,0,0,1,1,0,1,1,1","1,0,0,0,1,0,1,0,1,1",7,"7,0,8,8,1,1,5,7,7,5,4,6,8,2,1,6,4,5,0,0,9,2,6,3,9,4,9,3,3,2","0,4,6,2,9,7,3,1,8,5","1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0","1,1,1,0,1,0,0,0,1,0","0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1422,1285,1360,1673,1458,1636,1847,1392,1369,1410,1445,1451,1125,1276,3236,1236,1503,1187,1116,1155,1536,1906,3002,1256,1135,2234,1069,2157,1093,1419","2223,3983,1384,1266,1330,4331,1602,1473,1372,3406",10931,399,38467,60053,245015,614676,NA,"13:03:43 07/09/19 UTC","Tue Jul 09 2019 08:03:42 GMT-0500 (Central Daylight Time)","13:03:42 07/09/19 UTC",0,"category_change_1","13:13:47 07/09/19 UTC","no","1000101011","1000101011","1000110111","1000110111",6,4,2,5,6,-1,0.4,0.5,0.1,"s53800514",2
"227","iR593756","s14230833","I","R",NA,NA,NA,"buv","kal",3,TRUE,TRUE,"1,1,1,1,1,1,1,1,0,0","1,1,1,1,1,1,1,1,0,0",10,"0,9,8,3,9,1,9,5,4,7,2,8,9,7,6,6,8,9,9,4,9,7,9,9,7,5,6,9,8,8","6,4,9,1,7,2,5,8,0,3","1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0","1,1,0,1,1,1,1,0,1,1","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1220,1235,1683,1492,1274,1205,1052,1061,1018,1041,1168,1927,1170,1720,1436,1230,1243,988,1073,1051,1725,1823,1091,1223,6037,1009,663,1092,1355,1209","1161,951,1115,967,1419,921,973,1452,1152,899",9325,537,101101,16851,224088,915232,15,"13:07:00 07/09/19 UTC","Tue Jul 09 2019 18:36:58 GMT 0530 (India Standard Time)","13:06:58 07/09/19 UTC",2,"category_change_1","13:22:05 07/09/19 UTC","no","1111111100","1111111100","1111111100","1111111100",1,1,0,8,8,0,0.2,0.2,0,"s14230833",3
