"","X","participant","session_code","condition","distribution","chain","generation","parent","word0","word1","round","final_round","converged","correct_mapping","produced_mapping","score","trainset","testset","trainresponses","testresponses","trainresponse_changes","testresponse_changes","train_RTs","test_RTs","duration_consent","duration_callback","duration_comprehension","duration_instruction","duration_round","duration_experiment","whole_experiment","jointime_webapp2","jointime_user","jointime_user_UTC","comprehension_tries","experiment","created","bonused","system1024","system512","system1024_input","system512_input","N_boundaries","N_boundaries_input","N_boundaries_change","n_label1","n_label1_input","n_label1_change","p_input","p_output","p_change","trajectory","iteration"
"390",400,"iL373823","s30244659","I","L",NA,NA,NA,"seb","nuk",5,TRUE,TRUE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,1,0,0,0",10,"3,0,2,0,2,7,0,5,0,2,1,1,0,0,3,8,1,4,1,4,5,6,0,0,2,9,3,0,0,1","4,8,2,6,1,7,9,0,3,5","1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1","1,0,1,1,1,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1154,1613,792,854,861,995,896,827,883,858,1187,715,440,2181,1210,1295,970,1844,931,1023,1145,994,1231,976,904,1123,1079,943,941,1087","1279,1095,861,903,789,1193,1215,736,683,669",6099,199,67814,124424,216300,1411895,"24","19:19:55 01/22/20 UTC","Wed Jan 22 2020 14:19:53 GMT-0500 (Eastern Standard Time)","19:19:53 01/22/20 UTC",2,"category_change_2","19:43:20 01/22/20 UTC","no","1111111000","1111111000","1111111000","1111111000",1,1,0,7,7,0,0.3,0.3,0,"s30244659",5
"391",401,"iL923393","s56897721","I","L",NA,NA,NA,"dap","mig",3,FALSE,FALSE,"1,1,1,1,1,0,0,0,0,0","1,1,1,1,0,0,0,0,0,0",9,"1,0,7,3,5,1,2,1,0,2,0,2,5,1,0,9,0,4,0,0,3,8,4,0,1,2,6,3,0,0","5,8,3,1,7,4,2,0,6,9","1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1","0,0,1,1,0,0,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","12467,1341,1241,1322,1642,1081,1124,1508,1042,1788,3071,452,1406,1241,1057,946,1265,1525,844,1075,1364,1425,1526,1434,2348,1095,2787,2427,11141,1092","1774,1008,1126,778,1174,1175,1512,814,1096,808",8057,301,62116,21049,379936,941873,NA,"19:21:57 01/22/20 UTC","Wed Jan 22 2020 14:21:57 GMT-0500 (Eastern Standard Time)","19:21:57 01/22/20 UTC",2,"category_change_2","19:37:31 01/22/20 UTC","no","1111000000","1111000000","1111100000","1111100000",1,1,0,4,5,-1,0.5,0.4,-0.1,"s56897721",3
"392",402,"iL891166","s11882629","I","L",NA,NA,NA,"vit","lem",1,FALSE,FALSE,"1,1,0,0,1,1,0,0,0,1","1,1,1,1,0,1,0,1,0,0",5,"4,1,2,8,9,3,0,3,6,5,1,3,1,0,0,5,0,2,0,7,0,0,0,2,4,1,1,0,2,0","9,8,1,4,0,5,6,7,3,2","1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1","0,0,1,0,1,1,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,1,0,0","8291,2976,2655,1270,1760,1677,2793,1665,1176,1077,1528,2256,1406,1365,3205,1044,1592,1280,772,1241,1425,1153,1273,1281,1229,972,1727,2439,1177,907","1325,1108,892,1948,1201,1792,1378,3427,1447,1526",13649,666,97623,18111,260488,390538,NA,"19:20:53 01/22/20 UTC","Wed Jan 22 2020 14:20:51 GMT-0500 (Eastern Standard Time)","19:20:51 01/22/20 UTC",0,"category_change_2","19:27:09 01/22/20 UTC","no","1111010100","1111010100","1100110001","1100110001",5,4,1,6,5,1,0.5,0.4,-0.1,"s11882629",1
"393",403,"cL352909","s23996536","C","L",35,6,"cL304617","dap","mig",1,TRUE,TRUE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,0,0,0,0,0,0",10,"0,0,0,0,2,1,3,3,0,0,4,1,2,9,5,4,0,8,1,1,0,6,2,0,2,0,1,7,5,3","7,5,2,9,3,1,4,0,8,6","1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1","0,0,1,0,1,1,0,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2343,2154,1244,1073,1709,908,1596,891,1189,743,2193,1809,1357,1011,972,1825,761,873,829,779,814,1374,876,2329,10918,1207,945,829,2777,1138","915,1365,857,738,817,1896,1659,789,788,811",19445,235,84657,21315,234329,359980,"6","19:49:16 01/22/20 UTC","Wed Jan 22 2020 13:48:54 GMT-0600 (Central Standard Time)","19:48:54 01/22/20 UTC",0,"category_change_2","19:54:56 01/22/20 UTC","no","1111000000","1111000000","1111000000","1111000000",1,1,0,4,4,0,0.4,0.4,0,"35",6
"394",404,"iL929171","s92345565","I","L",NA,NA,NA,"pon","fud",3,FALSE,FALSE,"1,1,0,1,0,0,0,0,0,0","1,1,1,0,0,0,0,0,0,0",8,"6,5,3,1,1,5,3,0,4,2,9,1,1,0,0,2,2,0,0,0,2,0,0,1,3,7,4,8,0,0","0,3,6,5,4,9,2,1,7,8","0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1","1,0,0,0,0,0,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1072,976,901,885,1040,843,841,685,889,1919,485,859,1114,1061,1003,1251,994,944,802,884,2024,861,1142,860,1089,625,595,776,939,761","1038,1027,834,752,714,904,1091,1425,1517,1101",7012,331,53522,1620,201398,691761,NA,"19:22:08 01/22/20 UTC","Wed Jan 22 2020 11:22:08 GMT-0800 (Pacific Standard Time)","19:22:08 01/22/20 UTC",0,"category_change_2","19:33:33 01/22/20 UTC","no","1110000000","1110000000","1101000000","1101000000",1,3,-2,3,3,0,0.3,0.3,0,"s92345565",3
"395",405,"iR629563","s36430295","I","R",NA,NA,NA,"pon","fud",2,TRUE,TRUE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,0,0,1,1,1,1",10,"3,9,4,8,7,9,9,0,6,5,2,9,9,9,7,6,7,9,9,9,1,5,8,9,8,6,8,8,4,7","2,6,4,0,1,3,7,9,5,8","0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1","0,1,0,0,0,0,1,1,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0","886,631,898,714,982,544,461,592,709,672,647,728,691,570,809,637,592,650,543,527,638,726,857,1797,740,660,571,576,764,682","674,2346,514,576,586,572,659,596,636,660",5422,203,25535,179820,187409,603605,"10","19:19:45 01/22/20 UTC","Wed Jan 22 2020 13:23:07 GMT-0600 (Central Standard Time)","19:23:07 01/22/20 UTC",1,"category_change_2","19:29:43 01/22/20 UTC","no","0000001111","1111110000","0000001111","1111110000",1,1,0,6,6,0,0.4,0.4,0,"s36430295",2
"396",406,"cR429846","s63497238","C","R",24,2,"cR284733","gos","tef",1,TRUE,FALSE,"1,1,1,1,1,0,0,0,0,0","1,1,1,1,0,0,0,0,0,0",9,"7,9,9,8,9,3,7,9,9,6,8,4,8,4,7,8,6,1,7,6,9,5,0,8,9,9,9,9,2,5","6,8,5,7,4,9,2,3,0,1","0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0","0,0,0,0,0,0,1,1,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1949,1023,679,519,557,520,1504,932,561,1030,904,1633,982,911,1487,980,999,1202,1192,873,867006,2063,1204,12376,1102,653,3922,1475,827,4330","831,548,431,488,449,450,1404,1281,1232,1570",4697,249,210896,1905,1289984,1507731,"25","19:56:17 01/22/20 UTC","Wed Jan 22 2020 14:56:20 GMT-0500 (Eastern Standard Time)","19:56:20 01/22/20 UTC",0,"category_change_2","20:21:20 01/22/20 UTC","no","1111000000","1111000000","1111100000","1111100000",1,1,0,4,5,-1,0.5,0.4,-0.1,"24",2
"397",407,"iU414249","s95266149","I","U",NA,NA,NA,"buv","kal",4,FALSE,FALSE,"1,1,1,1,0,0,0,1,1,1","1,1,1,0,0,0,0,1,1,1",9,"3,4,8,1,6,2,8,7,6,4,0,9,4,2,9,3,1,5,2,5,6,1,7,0,5,9,7,0,8,3","9,0,3,7,8,5,2,6,4,1","1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1","1,1,0,1,1,0,1,0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","3774,1040,992,946,941,762,925,823,712,825,1160,1081,2331,1013,925,975,814,2623,671,1360,1511,870,1062,3659,1874,1470,4841,777,777,2429","1983,705,2483,822,731,2094,844,1854,1143,730",6497,165,27102,27735,254800,1023195,NA,"19:20:08 01/22/20 UTC","Wed Jan 22 2020 12:20:10 GMT-0700 (Mountain Standard Time)","19:20:10 01/22/20 UTC",0,"category_change_2","19:37:05 01/22/20 UTC","no","1110000111","1110000111","1111000111","1111000111",2,2,0,6,7,-1,0.3,0.4,0.1,"s95266149",4
"398",408,"cU253437","s53682827","C","U",13,3,"cU808692","vit","lem",1,TRUE,FALSE,"0,0,1,1,1,1,0,1,1,1","0,0,0,1,0,1,1,1,1,1",7,"6,4,3,6,2,9,5,5,8,2,0,9,2,3,8,4,1,3,0,5,9,8,1,6,4,0,7,7,1,7","7,5,2,9,3,8,4,0,6,1","0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1","1,1,0,1,1,1,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6978,2602,2183,1574,4170,2692,1741,2034,3104,1769,4280,2220,1505,1780,1519,2050,1568,1738,1425,1305,2765,1973,1870,1952,2141,1358,1677,1847,1722,1839","1931,1465,1353,1154,3628,1011,933,962,1381,1091",11270,346,55386,33461,278078,378541,"6","19:35:07 01/22/20 UTC","Wed Jan 22 2020 14:35:06 GMT-0500 (Eastern Standard Time)","19:35:06 01/22/20 UTC",0,"category_change_2","19:41:15 01/22/20 UTC","no","0001011111","1110100000","0011110111","1100001000",3,3,0,4,3,1,0.3,0.4,0.1,"13",3
"399",409,"iR544289","s58560965","I","R",NA,NA,NA,"seb","nuk",6,FALSE,FALSE,"0,1,1,1,1,1,1,0,0,0","1,0,1,1,1,1,0,0,0,0",7,"8,6,9,3,1,6,7,9,4,7,8,8,8,4,9,7,9,9,9,7,2,9,5,9,8,9,5,6,9,0","3,1,6,5,0,8,9,2,7,4","0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0","1,0,0,1,1,0,0,1,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1642,2122,1804,1429,1205,2339,2758,1077,4574,12079,941,990,1061,1295,990,1084,1698,920,894,1154,1478,4106,2022,1160,1005,1907,1559,3646,1213,1404","1739,1272,2888,772,991,1538,856,1404,1030,990",9152,249,68880,20586,256621,1656640,NA,"19:22:23 01/22/20 UTC","Wed Jan 22 2020 14:22:24 GMT-0500 (Eastern Standard Time)","19:22:24 01/22/20 UTC",0,"category_change_2","19:49:51 01/22/20 UTC","no","1011110000","1011110000","0111111000","1000000111",3,2,1,5,4,1,0.4,0.5,0.1,"s58560965",6
