"","X","participant","session_code","condition","distribution","chain","generation","parent","word0","word1","round","final_round","converged","correct_mapping","produced_mapping","score","trainset","testset","trainresponses","testresponses","trainresponse_changes","testresponse_changes","train_RTs","test_RTs","duration_consent","duration_callback","duration_comprehension","duration_instruction","duration_round","duration_experiment","whole_experiment","jointime_webapp2","jointime_user","jointime_user_UTC","comprehension_tries","experiment","created","bonused","system1024","system512","system1024_input","system512_input","N_boundaries","N_boundaries_input","N_boundaries_change","n_label1","n_label1_input","n_label1_change","p_input","p_output","p_change","trajectory","iteration"
"1",1,"iU707225","s29468496","I","U",NA,NA,NA,"seb","nuk",3,FALSE,FALSE,"0,1,1,1,0,0,1,0,0,0","1,1,1,1,1,1,0,0,0,0",6,"2,3,8,9,7,5,5,2,2,1,8,5,4,0,8,7,9,3,7,9,0,6,4,3,4,1,6,0,1,6","3,2,6,1,5,9,7,8,4,0","1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0","1,1,0,1,1,0,0,0,1,1","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2056,1256,1033,845,1376,997,918,871,991,1010,1039,806,1413,1533,1089,3442,998,4354,1871,1579,2544,2092,2162,911,1396,1892,1344,2888,1825,3977","10063,1437,930,1952,1176,983,2747,1552,1181,2635",7858,250,40968,19955,238308,806167,NA,"19:24:59 01/22/20 UTC","Wed Jan 22 2020 11:25:00 GMT-0800 (Pacific Standard Time)","19:25:00 01/22/20 UTC",0,"category_change_2","19:38:18 01/22/20 UTC","no","1111110000","1111110000","0111001000","1000110111",1,4,-3,6,6,0,0.4,0.4,0,"s29468496",3
"2",2,"iR527950","s89344279","I","R",NA,NA,NA,"pon","fud",2,FALSE,FALSE,"0,0,1,1,1,0,1,1,1,0","0,1,0,1,1,1,1,0,0,0",5,"9,8,6,1,5,9,4,9,5,7,3,8,9,4,7,8,6,7,7,9,9,6,8,0,9,9,8,2,9,9","2,0,3,1,9,4,6,8,5,7","0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0","0,0,1,1,0,1,1,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","8602,2330,2904,3239,2437,3046,3995,2823,2836,1719,2058,2235,668,680,741,658,798,535,481,769,598,642,904,923,811,705,757,697,888,1005","926,781,904,559,700,1344,1148,795,589,737",6884,180,66100,10787,219349,1276544,NA,"19:21:59 01/22/20 UTC","Wed Jan 22 2020 11:22:00 GMT-0800 (Pacific Standard Time)","19:22:00 01/22/20 UTC",0,"category_change_2","19:43:09 01/22/20 UTC","no","0101111000","1010000111","0011101110","1100010001",4,4,0,5,4,1,0.4,0.5,0.1,"s89344279",2
"3",3,"iU377249","s67054307","I","U",NA,NA,NA,"buv","kal",4,FALSE,FALSE,"0,0,1,0,1,1,1,0,1,0","1,1,1,0,0,0,0,1,1,1",3,"2,3,5,9,5,0,1,7,2,9,0,5,8,4,8,6,8,4,9,0,1,7,6,1,3,6,7,4,2,3","0,5,3,4,2,9,1,7,8,6","0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1","1,0,0,0,1,1,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,1,0,0,0,0,0","3336,629,1169,560,513,335,418,385,408,946,832,1563,852,702,369,299,562,638,611,1311,664,853,945,1648,938,612,586,1952,619,880","675,957,749,763,677,1215,915,740,1035,1683",8121,117,29216,14756,198734,924870,NA,"19:24:04 01/22/20 UTC","Wed Jan 22 2020 12:24:01 GMT-0700 (Mountain Standard Time)","19:24:01 01/22/20 UTC",0,"category_change_2","19:39:20 01/22/20 UTC","no","1110000111","1110000111","0010111010","1101000101",2,6,-4,6,5,1,0.5,0.4,-0.1,"s67054307",4
"4",4,"iL296459","s91235485","I","L",NA,NA,NA,"pon","fud",4,FALSE,FALSE,"0,0,0,0,1,1,1,1,1,1","0,0,0,0,0,1,1,1,1,1",9,"1,0,3,0,0,0,4,6,9,0,2,3,1,7,5,2,2,0,0,4,1,5,3,1,0,0,2,1,0,8","1,7,9,4,2,3,6,8,5,0","0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1","0,1,1,0,0,0,1,1,1,0","0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,0,0,1,0,0,0,0,0,0","1279,1375,1273,1417,1213,953,1178,1145,854,1207,1845,1898,1128,861,1313,1618,1014,1826,1004,839,1202,1466,1192,1072,997,888,2647,984,1338,910","1021,879,836,1793,973,819,872,821,805,856",8779,154,24482,17241,225283,979654,NA,"19:20:37 01/22/20 UTC","Wed Jan 22 2020 14:20:36 GMT-0500 (Eastern Standard Time)","19:20:36 01/22/20 UTC",0,"category_change_2","19:36:48 01/22/20 UTC","no","0000011111","1111100000","0000111111","1111000000",1,1,0,5,4,1,0.4,0.5,0.1,"s91235485",4
"5",5,"iU969652","s37894501","I","U",NA,NA,NA,"buv","kal",4,FALSE,FALSE,"1,1,1,0,0,0,0,0,1,1","1,0,0,0,1,1,0,1,0,0",3,"7,0,8,0,1,5,4,6,6,6,9,1,2,3,5,4,1,9,5,4,9,3,3,2,0,7,7,8,2,8","6,0,3,5,1,9,2,8,4,7","1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1","0,1,0,1,0,0,0,0,1,1","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1075,984,1126,1001,985,1086,1262,1186,955,931,1018,1025,778,776,1274,887,749,1099,2092,1160,950,1093,806,949,729,887,878,1220,1452,894","814,745,783,793,999,907,888,1015,594,612",16770,133,35484,22719,205348,919780,NA,"19:22:31 01/22/20 UTC","Wed Jan 22 2020 13:22:32 GMT-0600 (Central Standard Time)","19:22:32 01/22/20 UTC",0,"category_change_2","19:37:34 01/22/20 UTC","no","1000110100","1000110100","1110000011","1110000011",5,2,3,4,5,-1,0.5,0.4,-0.1,"s37894501",4
"6",6,"iU223651","s32656971","I","U",NA,NA,NA,"buv","kal",7,FALSE,FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,1,0,1,1,1,1",9,"6,8,0,2,5,5,3,3,0,6,1,9,4,8,3,1,9,2,4,9,5,4,6,1,0,7,7,2,7,8","9,3,5,1,0,4,6,7,8,2","1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1","1,0,0,0,0,1,1,1,1,0","1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,1,0,0,0","1264,721,576,438,690,740,900,760,790,864,598,803,909,889,547,693,806,832,631,720,619,942,689,536,590,624,936,689,881,598","645,392,529,894,530,1039,581,1118,745,558",6430,350,24168,6152,201221,1587551,NA,"19:19:23 01/22/20 UTC","Wed Jan 22 2020 14:18:01 GMT-0500 (Eastern Standard Time)","19:18:01 01/22/20 UTC",0,"category_change_2","19:45:44 01/22/20 UTC","no","0000101111","1111010000","0000001111","1111110000",3,1,2,5,6,-1,0.4,0.5,0.1,"s32656971",7
"7",7,"iL319533","s88843553","I","L",NA,NA,NA,"vit","lem",2,FALSE,FALSE,"1,1,1,1,1,0,0,0,0,0","1,1,1,0,0,0,0,0,0,0",8,"1,0,1,4,6,4,0,1,3,2,0,1,5,3,0,0,2,0,7,3,0,2,8,0,1,2,0,5,9,0","7,0,1,4,2,9,6,5,3,8","1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1","0,1,1,0,1,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","498,438,471,771,692,910,429,418,1838,646,1572,503,1011,730,406,624,896,730,793,904,453,806,431,766,431,407,532,620,1252,2043","809,629,504,784,806,740,813,1059,950,778",8332,183,129957,17165,203325,570853,NA,"19:24:56 01/22/20 UTC","Wed Jan 22 2020 14:24:56 GMT-0500 (Eastern Standard Time)","19:24:56 01/22/20 UTC",0,"category_change_2","19:34:18 01/22/20 UTC","no","1110000000","1110000000","1111100000","1111100000",1,1,0,3,5,-2,0.5,0.3,-0.2,"s88843553",2
"8",8,"iL146837","s98032128","I","L",NA,NA,NA,"seb","nuk",4,FALSE,FALSE,"0,0,0,1,1,1,1,1,1,0","0,0,0,1,1,1,1,0,0,0",8,"0,8,2,9,5,6,3,3,0,0,7,0,2,0,0,2,2,5,1,0,1,1,1,0,4,1,0,4,0,3","9,5,6,0,4,3,7,2,8,1","0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1","0,1,1,0,1,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","873,1594,693,663,826,1065,836,1287,938,578,2359,913,1496,1939,1320,1015,960,845,1064,857,955,669,1208,1028,1338,728,717,986,767,1203","1381,887,1132,891,1051,1803,1086,720,920,896",9425,331,56180,10066,203769,915550,NA,"19:21:39 01/22/20 UTC","Wed Jan 22 2020 14:21:39 GMT-0500 (Eastern Standard Time)","19:21:39 01/22/20 UTC",2,"category_change_2","19:36:46 01/22/20 UTC","no","0001111000","1110000111","0001111110","1110000001",2,2,0,6,4,2,0.4,0.4,0,"s98032128",4
"9",9,"cR303965","s16154856","C","R",28,3,"cR802698","dap","mig",1,TRUE,FALSE,"0,1,0,1,1,1,1,1,0,0","1,0,0,1,1,1,0,0,0,0",6,"5,9,6,1,9,0,5,4,8,6,9,3,7,8,9,6,9,9,7,9,9,8,8,9,4,7,9,7,8,2","4,7,5,8,9,1,2,6,3,0","0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1","1,0,1,0,0,0,0,0,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2650,1038,3759,1228,1210,795,1506,1155,857,2971,1255,1545,1094,1385,1263,1266,896,1885,1624,1003,1881,1203,1175,1638,960,1456,1145,1543,1045,1738","1194,655,959,622,713,1490,2761,1155,1073,1042",6846,405,37809,5203,228869,279131,"5","19:33:14 01/22/20 UTC","Wed Jan 22 2020 13:33:15 GMT-0600 (Central Standard Time)","19:33:15 01/22/20 UTC",0,"category_change_2","19:37:47 01/22/20 UTC","no","1001110000","1001110000","0101111100","1010000011",3,4,-1,4,4,0,0.4,0.4,0,"28",3
"10",10,"iL429573","s32723293","I","L",NA,NA,NA,"gos","tef",4,FALSE,FALSE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,1,1,0,0,0,0",8,"1,0,6,3,1,0,5,7,1,8,4,2,1,0,0,0,0,2,4,5,2,2,0,0,9,1,0,0,3,3","5,0,7,1,6,8,3,2,9,4","1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1","1,1,0,1,0,0,1,1,0,1","0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1088,1436,1131,2014,719,771,1256,736,870,1037,1702,949,1357,1052,757,869,1626,8114,828,1464,903,860,679,868,1414,1337,793,998,1423,1485","1189,725,831,1209,814,1143,1081,1065,799,1625",16430,182,61817,14223,228833,1087044,NA,"19:21:25 01/22/20 UTC","Wed Jan 22 2020 14:21:25 GMT-0500 (Eastern Standard Time)","19:21:25 01/22/20 UTC",0,"category_change_2","19:39:16 01/22/20 UTC","no","1111110000","1111110000","1111000000","1111000000",1,1,0,6,4,2,0.4,0.4,0,"s32723293",4
"11",11,"cU897252","s30576451","C","U",14,5,"cU842476","vit","lem",1,TRUE,TRUE,"1,1,1,1,1,0,0,0,0,0","1,1,1,1,1,0,0,0,0,0",10,"6,0,6,4,8,3,5,5,5,2,4,0,4,8,0,9,6,3,7,1,2,7,9,3,1,9,7,1,2,8","5,3,2,9,4,7,0,6,1,8","0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0","0,1,1,0,1,0,1,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2404,1514,1100,846,1055,947,2671,1394,1165,991,1038,819,2144,1002,721,1062,5536,1011,866,843,931,1052,837,817,817,845,1086,844,1015,1254","2063,770,773,782,1542,672,820,597,784,771",3733,277,38147,11435,221857,275450,"5","19:47:07 01/22/20 UTC","Wed Jan 22 2020 14:47:08 GMT-0500 (Eastern Standard Time)","19:47:08 01/22/20 UTC",0,"category_change_2","19:51:39 01/22/20 UTC","no","1111100000","1111100000","1111100000","1111100000",1,1,0,5,5,0,0.5,0.5,0,"14",5
"12",12,"cU909946","s67172869","C","U",12,3,"cU439779","buv","kal",1,TRUE,TRUE,"1,1,1,1,0,0,0,0,0,0","1,1,1,1,0,0,0,0,0,0",10,"3,1,0,6,8,0,8,2,4,7,7,5,9,1,0,5,6,9,3,4,4,9,2,5,3,8,2,6,1,7","6,7,8,1,3,4,0,2,9,5","0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0","0,0,0,1,1,0,1,1,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6420,1792,1157,2710,830,984,1066,700,1531,1836,991,1625,674,1089,1157,921,713,448,1400,2667,1666,765,971,1013,989,955,1326,583,1417,923","1549,950,520,756,1181,1716,1282,1310,846,1011",4155,233,59159,25891,229456,318894,"5","19:40:25 01/22/20 UTC","Wed Jan 22 2020 11:40:23 GMT-0800 (PST)","19:40:23 01/22/20 UTC",0,"category_change_2","19:45:40 01/22/20 UTC","no","1111000000","1111000000","1111000000","1111000000",1,1,0,4,4,0,0.4,0.4,0,"12",3
"13",13,"iR887691","s77996057","I","R",NA,NA,NA,"buv","kal",3,FALSE,FALSE,"0,0,1,1,0,0,0,0,0,0","0,0,0,1,0,0,0,0,0,0",9,"6,0,6,3,9,9,9,9,9,8,8,9,9,8,8,4,5,1,9,6,7,4,2,5,7,8,9,7,9,7","6,7,8,2,0,5,9,1,3,4","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,1,0","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1","0,0,0,0,0,0,0,0,1,0","790,1335,460,428,265,111,251,220,4,215,64,212,196,843,378,259,414,234,635,474,334,249,358,500,407,676,369,1021,404,1130","1085,368,349,712,952,486,408,479,342,361",19034,316,48412,298375,179016,930496,NA,"19:33:05 01/22/20 UTC","Wed Jan 22 2020 13:33:01 GMT-0600 (Central Standard Time)","19:33:01 01/22/20 UTC",0,"category_change_2","19:48:16 01/22/20 UTC","no","0001000000","1110111111","0011000000","1100111111",2,2,0,9,8,1,0.2,0.1,-0.1,"s77996057",3
"14",14,"cU718163","s10593030","C","U",14,3,"cU765161","dap","mig",1,TRUE,FALSE,"1,1,1,1,0,1,0,0,0,0","1,1,1,1,0,0,0,0,0,0",9,"0,2,0,9,2,4,1,4,7,0,5,2,8,5,8,9,5,7,8,6,7,1,1,4,6,6,3,3,9,3","1,7,4,5,6,8,0,2,9,3","0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1","1,0,0,0,0,0,1,1,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2023,1213,1603,2028,1216,1271,1356,1290,1144,1613,928,1571,1379,2948,1308,1772,2013,1348,1543,1222,1282,1338,1176,3011,1259,1235,1371,2526,1178,1922","1209,1206,2824,1322,1198,1060,1255,1127,974,2061",7641,221,60881,32419,252965,354128,"6","19:34:55 01/22/20 UTC","Wed Jan 22 2020 14:34:56 GMT-0500 (Eastern Standard Time)","19:34:56 01/22/20 UTC",0,"category_change_2","19:40:42 01/22/20 UTC","no","1111000000","1111000000","1111010000","1111010000",1,3,-2,4,5,-1,0.5,0.4,-0.1,"14",3
"15",15,"cR284733","s20505887","C","R",24,1,"init","pon","fud",1,TRUE,FALSE,"1,1,0,1,0,1,0,1,0,0","1,1,1,1,1,0,0,0,0,0",6,"8,8,8,9,6,4,9,7,6,4,9,9,9,1,8,9,5,3,9,9,5,6,2,9,0,7,7,7,8,9","7,9,6,2,0,5,1,3,4,8","0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0","0,0,0,1,1,0,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2985,1792,1374,1223,1145,1919,1112,733,1291,1323,2697,1026,1240,2026,966,2008,1552,1039,897,4193,1240,762,1323,3069,1005,962,1896,2967,1291,1500","5355,1049,2157,853,722,967,727,2257,5379,922",37149,240,136782,34166,277261,485597,"8","19:48:35 01/22/20 UTC","Wed Jan 22 2020 14:48:33 GMT-0500 (Eastern Standard Time)","19:48:33 01/22/20 UTC",0,"category_change_2","19:56:03 01/22/20 UTC","no","1111100000","1111100000","1101010100","1101010100",1,7,-6,5,5,0,0.5,0.5,0,"24",1
"16",16,"iR910301","s46086277","I","R",NA,NA,NA,"dap","mig",2,FALSE,FALSE,"1,1,0,1,1,1,0,1,1,1","1,1,1,1,1,1,1,1,1,1",8,"8,9,7,8,6,8,7,2,9,0,8,9,7,9,5,7,9,9,5,3,9,9,9,4,8,4,9,6,1,6","7,6,2,5,8,1,3,9,0,4","1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1","1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0","0,0,0,0,0,0,0,0,0,0","872,1036,679,1894,584,4832,1172,1052,1308,1088,1175,9434,3094,692,4517,7816,6750,955,754,16184,14357,1127,1405,2244,11818,834,6839,3441,546,1202","592,554,775,705,484,518,452,487,476,685",13692,199,66236,4672,290056,1658901,NA,"19:38:06 01/22/20 UTC","Wed Jan 22 2020 14:38:05 GMT-0500 (Eastern Standard Time)","19:38:05 01/22/20 UTC",1,"category_change_2","20:05:31 01/22/20 UTC","no","1111111111","1111111111","1101110111","1101110111",0,4,-4,10,8,2,0.2,0,-0.2,"s46086277",2
"17",17,"cL304617","s33228177","C","L",35,5,"cL471229","seb","nuk",1,TRUE,FALSE,"1,1,1,0,0,0,0,0,0,0","1,1,1,1,0,0,0,0,0,0",9,"5,0,2,8,2,1,0,0,0,9,0,4,0,3,0,1,1,6,0,3,0,4,7,1,1,5,2,2,3,0","1,2,0,4,8,3,9,7,5,6","1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1","1,1,1,0,0,1,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","2628,1919,2385,1339,1569,1697,1794,1271,1272,18658,1145,1644,1204,1238,1438,1493,2130,1121,1175,2662,1358,1292,1288,1290,1245,1122,1685,1229,1945,1544","1221,1831,1380,1215,1180,1743,1303,1288,1372,1291",10669,215,54106,52123,268727,385840,"6","19:42:26 01/22/20 UTC","Wed Jan 22 2020 11:42:26 GMT-0800 (Pacific Standard Time)","19:42:26 01/22/20 UTC",0,"category_change_2","19:48:41 01/22/20 UTC","no","1111000000","1111000000","1110000000","1110000000",1,1,0,4,3,1,0.3,0.4,0.1,"35",5
"18",18,"iL201998","s21761168","I","L",NA,NA,NA,"dap","mig",2,FALSE,FALSE,"1,1,1,1,0,1,0,0,0,0","1,1,1,1,1,1,1,0,0,0",8,"1,2,2,0,3,3,5,1,0,9,0,2,0,0,0,1,7,3,1,8,0,6,2,0,5,1,0,0,4,4","8,1,7,5,6,2,0,4,3,9","1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1","0,1,0,1,1,1,1,1,1,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","768,604,387,708,593,402,480,803,638,748,679,668,1007,716,489,377,654,501,577,1052,428,685,588,696,668,398,532,425,322,881","761,629,674,569,1018,734,453,833,719,841",6377,199,36070,8960,181774,569219,NA,"19:26:11 01/22/20 UTC","Wed Jan 22 2020 14:26:10 GMT-0500 (Eastern Standard Time)","19:26:10 01/22/20 UTC",0,"category_change_2","19:35:34 01/22/20 UTC","no","1111111000","1111111000","1111010000","1111010000",1,3,-2,7,5,2,0.5,0.3,-0.2,"s21761168",2
"19",19,"iR310947","s31064019","I","R",NA,NA,NA,"seb","nuk",3,FALSE,FALSE,"0,0,0,0,1,1,0,0,0,0","0,0,0,1,1,0,0,0,0,0",8,"7,8,7,9,5,5,9,8,9,7,1,6,9,9,0,9,2,8,7,8,3,4,9,6,4,8,6,9,9,9","9,7,4,5,0,2,1,6,3,8","0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0","0,0,1,0,0,0,0,0,1,0","0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0","0,0,2,0,0,0,0,0,0,0","1156,599,542,1362,1277,2506,2161,897,674,1962,2661,857,556,424,2136,1873,979,841,460,423,1056,2772,706,1114,841,1922,608,644,472,789","728,2635,1207,676,1005,808,810,994,1262,605",7991,197,65060,15870,220731,809858,NA,"19:23:42 01/22/20 UTC","Wed Jan 22 2020 11:23:42 GMT-0800 (Pacific Standard Time)","19:23:42 01/22/20 UTC",0,"category_change_2","19:37:04 01/22/20 UTC","no","0001100000","1110011111","0000110000","1111001111",2,2,0,8,8,0,0.2,0.2,0,"s31064019",3
"20",20,"iU494306","s18778360","I","U",NA,NA,NA,"gos","tef",2,FALSE,FALSE,"0,0,1,1,1,1,0,0,0,0","0,1,0,1,1,1,1,0,0,1",6,"7,6,9,3,4,8,0,6,3,9,4,8,9,2,5,0,8,5,3,2,2,1,7,1,0,5,6,4,1,7","4,7,6,5,9,2,1,8,0,3","1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0","1,0,1,1,1,0,1,0,0,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0","0,0,1,0,0,0,0,0,0,0","1665,1047,1090,1009,2738,980,1110,1189,1040,1638,1155,2477,1164,1044,1861,904,1240,903,824,2658,1105,1317,1069,2422,2327,2396,2826,1335,1053,1362","1260,1154,1319,1194,1714,1148,997,1005,1037,1130",37154,248,144879,104409,227324,780673,NA,"19:20:17 01/22/20 UTC","Wed Jan 22 2020 14:20:16 GMT-0500 (Eastern Standard Time)","19:20:16 01/22/20 UTC",1,"category_change_2","19:32:40 01/22/20 UTC","no","0101111001","1010000110","0011110000","1100001111",5,2,3,4,6,-2,0.4,0.4,0,"s18778360",2
"21",21,"iU436727","s91745092","I","U",NA,NA,NA,"pon","fud",6,FALSE,FALSE,"1,1,0,0,1,1,1,1,0,1","1,1,1,1,1,1,1,1,1,1",7,"5,6,8,9,9,2,8,0,5,3,2,0,0,7,4,9,4,1,4,7,6,5,1,3,3,1,7,6,8,2","2,4,7,8,6,3,5,9,0,1","1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0","1,1,1,1,1,1,1,1,1,1","0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,0,0","1798,764,770,1630,1304,1234,698,569,622,530,457,472,438,665,415,671,468,555,714,1758,469,1359,457,956,1203,488,769,510,448,505","1970,552,446,523,402,653,534,499,742,418",6536,237,42883,17671,205861,1534694,NA,"19:43:08 01/22/20 UTC","Wed Jan 22 2020 14:43:12 GMT-0500 (Eastern Standard Time)","19:43:12 01/22/20 UTC",1,"category_change_2","20:08:36 01/22/20 UTC","no","1111111111","1111111111","1100111101","1100111101",0,4,-4,10,7,3,0.3,0,-0.3,"s91745092",6
"22",22,"cR347958","s58095050","C","R",22,3,"cR173216","gos","tef",1,TRUE,FALSE,"1,0,1,1,0,0,0,1,1,1","1,1,1,0,0,1,1,1,1,1",6,"7,9,8,9,5,9,8,6,7,9,8,9,4,1,2,0,9,9,7,9,8,9,6,8,9,7,3,6,4,5","2,0,7,9,6,3,4,8,5,1","0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1","1,1,1,1,1,0,0,1,1,1","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","1919,1662,1370,1241,1808,1220,1146,991,1329,936,2786,930,1111,1027,921,1577,863,887,1254,962,1068,1156,3042,1023,1047,1971,994,1290,1094,3790","2331,1342,1063,835,1042,1129,1140,779,836,1639",19290,149,62693,21300,235017,338449,"6","19:36:23 01/22/20 UTC","Wed Jan 22 2020 12:36:23 GMT-0700 (Mountain Standard Time)","19:36:23 01/22/20 UTC",0,"category_change_2","19:41:42 01/22/20 UTC","no","1110011111","1110011111","1011000111","1011000111",2,4,-2,8,6,2,0.4,0.2,-0.2,"22",3
